Institution,State,District,Type,DataDepth,Department,ResearchAreas,SourceVerified
Indian Institute of Technology Bhilai,Chhattisgarh,Durg,technical_institute,deep,Mechatronics,"Robotics, drones, medical instruments; control and automation using AI; named focus on industrial safety",Verified live from iitbhilai.ac.in disc_mt
Indian Institute of Technology Bhilai,Chhattisgarh,Durg,technical_institute,deep,Liberal Arts,Three core disciplines: Economics; Literature; Psychology,Verified live from official department page
Indian Institute of Technology Bhilai,Chhattisgarh,Durg,technical_institute,deep,Bioscience and Biomedical Engineering / Chemistry / Electronics and Communication Engineering / Materials Science and Metallurgical Engineering / Mathematics / Physics / Mechanical Engineering,"NEEDS RESEARCH — confirmed real departments, specific research areas not yet pulled",Department names only — confirmed via official site department listing
Indira Gandhi Krishi Vishwavidyalaya (IGKV),Chhattisgarh,Raipur,university,deep,Agri-Business Management / Agricultural Economics / Agricultural Statistics / Agriculture Engineering / Horticulture,"NEEDS RESEARCH — confirmed real departments, specific research areas not yet pulled",Department names only — confirmed via official site department listing
Indira Gandhi Krishi Vishwavidyalaya (IGKV),Chhattisgarh,Raipur,university,deep,(network of affiliated colleges),23 constituent government colleges + 15 affiliated private colleges statewide — not yet individually researched,Verified count from official IGKV site and Careers360 cross-reference
Bhilai Institute of Technology - Durg,Chhattisgarh,Durg,technical_institute,deep,Computer Science and Engineering / Information Technology,"New Advanced AI/ML Lab launched Aug 2026 — 33 GPU systems, TensorFlow/PyTorch/Scikit-learn","Verified live from bitdurg.ac.in + official Instagram (Aug 2026) — established 1986, Institute Code 01"
Bhilai Institute of Technology - Durg,Chhattisgarh,Durg,technical_institute,deep,Civil Engineering / Electrical & Electronics Engineering / Electronics & Telecom Engineering / Mechanical Engineering / Electrical Engineering,NEEDS RESEARCH — confirmed real departments. Also has Sciences wing (Applied Chemistry/Mathematics/Physics/Humanities) and Management (MBA) + Computer Applications (MCA),Department names only — confirmed via official site department menu
Government Engineering College - Bilaspur,Chhattisgarh,Bilaspur,technical_institute,deep,Mining Engineering,One of 7 core departments — genuinely relevant given Chhattisgarh's mining economy,"Verified live — gecbsp.ac.in, established 1964"
Government Engineering College - Bilaspur,Chhattisgarh,Bilaspur,technical_institute,deep,Civil Engineering / Mechanical Engineering / Electrical Engineering / Electronics Engineering / Information Technology / Computer Science & Engineering,NEEDS RESEARCH — confirmed real departments (7 total including Mining),Department names only — confirmed via official site + Wikipedia cross-reference
Government Engineering College - Jagdalpur,Chhattisgarh,Bastar,technical_institute,deep,Mining Engineering,"Real B.Tech program — Bastar is mineral-rich, tribal-majority district where this is genuinely applicable. NOTE: CSVTU list also has 'Chhattisgarh Institute of Technology, Jagdalpur' (code 211) — likely the same institution under a different name/code, source-data duplicate",Verified live from gecjdp.ac.in/departments/mining
Government Engineering College - Jagdalpur,Chhattisgarh,Bastar,technical_institute,deep,Mechanical Engineering,B.Tech Mechanical Engineering; M.Tech in Thermal Engineering; PhD program offered,Verified live from gecjdp.ac.in/departments/mechanical
Government Engineering College - Jagdalpur,Chhattisgarh,Bastar,technical_institute,deep,Civil / Electronics & Telecommunication / Information Technology / Electrical / Humanities,NEEDS RESEARCH — confirmed real departments (7 total). Humanities dept covers Engineering Mathematics/Physics/Chemistry/Environmental Science/English,Department names only — confirmed via official site
"RSR Rungta College of Engineering & Technology,Bhilai",Chhattisgarh,Durg,technical_institute,deep,Computer Science & Engineering / Mechanical Engineering / Civil Engineering / Electrical Engineering / Electronics & Telecommunications / Mining Engineering / Information Technology,Now part of Rungta University (govt-approved 2025),"Verified live — rsrrcet.com, rungta.ac.in. NOTE: CSVTU list has this institution twice under codes 029 and 013 — source-data duplicate"
Christian College of Engineering & Technology - Bhilai,Chhattisgarh,Durg,technical_institute,deep,Computer Science & Engineering / Electronics & Telecommunication Engineering / Electrical Engineering / Mechanical Engineering / Science and Humanities,Named specializations: CAD/CAM Robotics; Nanotechnology; High Voltage,Verified live from ccetbhilai.ac.in — established 1998
New Government Engineering College - Raipur,Chhattisgarh,Raipur,technical_institute,deep,Civil Engineering / Computer Science / Data Science / Electronics & Telecommunication / Electrical & Electronics / Mechanical Engineering / Applied Science & Humanities,"Renamed 'Chhattisgarh Institute of Technology, Raipur' — dedicated standalone Data Science Engineering department",Verified live from gecraipur.ac.in official pages
Chhatrapati Shivaji Institute Of Technology - Durg,Chhattisgarh,Durg,technical_institute,deep,Computer Science & Engineering / Artificial Intelligence & Data Science / Civil Engineering / Mechanical Engineering / Information Technology / Electrical & Electronics Engineering / Mechatronics,"Real named faculty in CSE dept (Prof. Prashant Richhariya, Prof. Deepty Dubey)",Verified live from csitdurg.in + Collegedunia faculty listing
Disha Institute Of Management And Technology - Raipur,Chhattisgarh,Raipur,college,deep,Civil Engineering / Computer Science / Electrical & Electronics / Electronics & Telecommunication / Mechanical / Mechatronics / Management (MBA),Diversified — also offers B.Ed and B.Sc Nursing alongside engineering and management,Verified live from dimatindia.in official pages
"Central Institute of Plastic Engineering & Technology, Raipur",Chhattisgarh,Raipur,technical_institute,deep,Plastics Technology / Plastics Mould Technology,"National government institute (Ministry of Chemicals & Fertilizers, GoI, not state-run). B.Tech in Plastics/Manufacturing/Mechanical/Petrochemical Engineering — directly relevant to plastic-waste/environmental civic problems",Verified live from cipet.gov.in official pages
Chouksey Engineering College - Bilaspur,Chhattisgarh,Bilaspur,technical_institute,deep,Computer Science & Engineering / Civil Engineering / Electrical & Electronics Engineering / Electronics & Telecommunication,"CSE dept named focus: Artificial Intelligence, Data Science, Cybersecurity, Cloud Computing",Verified live from cecbilaspur.ac.in official pages
"Shri Shankaracharya Institute of Professional Management & Technology, Raipur",Chhattisgarh,Raipur,technical_institute,deep,Computer Science & Engineering / CSE (AI) / CSE (Data Science) / AI & Machine Learning / Civil Engineering / Electronics & Telecommunication / Information Technology / Mechanical Engineering,"Real named faculty (HOD Civil Engineering; Prof. Parvez Alam). Offers PhD in Management, CSE, and Physics",Verified live from ssipmt.edu.in + Wikipedia + CollegeBatch cross-reference
"Chhattisgarh Engineering College, Durg",Chhattisgarh,Durg,technical_institute,deep,Electronics & Communication Engineering / Electrical Engineering / Civil Engineering / Mechanical Engineering / Computer Science Engineering,"Established 2009, AICTE approved",Verified live via Shiksha/Careers360 cross-reference
Raipur Institute Of Technology - Raipur,Chhattisgarh,Raipur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 012)
Shri Rawatpura Sarkar Institute of Pharmacy - Kumhari,Chhattisgarh,Durg,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 015) | Department classified from CSVTU pharmacy listing category
"Columbia Institute of Pharmacy, Raipur",Chhattisgarh,Raipur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 021) | Department classified from CSVTU pharmacy listing category
"Columbia Institute of Engineering & Technology,Raipur",Chhattisgarh,Raipur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 026)
"Lakhmi Chand Institute of Technology,Bilaspur",Chhattisgarh,Bilaspur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 031)
"Royal College of Pharmacy, Raipur",Chhattisgarh,Raipur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 046) | Department classified from CSVTU pharmacy listing category
Government Polytechnic - Korba,Chhattisgarh,Korba,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 057) | Department classified from CSVTU polytechnic listing category
Government Polytechnic - Khairagarh,Chhattisgarh,Rajnandgaon,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 059) | Department classified from CSVTU polytechnic listing category
Thakur Balram Singh Government Polytechnic - Takhatpur,Chhattisgarh,Bilaspur,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 060) | Department classified from CSVTU polytechnic listing category
Columbia College of Pharmacy - Raipur,Chhattisgarh,Raipur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 061) | Department classified from CSVTU pharmacy listing category
Moulana Abul Kalam Azad College of Pharmacy - Raipur,Chhattisgarh,Raipur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 062) | Department classified from CSVTU pharmacy listing category
J. K. Institute of Pharmacy - Bilaspur,Chhattisgarh,Bilaspur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 063) | Department classified from CSVTU pharmacy listing category
Siddhi Vinayaka Institute of Technology - Bilaspur,Chhattisgarh,Bilaspur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 065)
Ayush College of Polytechnic - Meduka,Chhattisgarh,Bilaspur,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 066) | Department classified from CSVTU polytechnic listing category
Ramkrishna Rathore Government Polytechnic - Janjgir-Champa,Chhattisgarh,Janjgir – Champa,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 068) | Department classified from CSVTU polytechnic listing category
"I B T College of Diploma Engineering, Durg",Chhattisgarh,Durg,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 069)
"Government Polytechnic, Mahasamund",Chhattisgarh,Mahasamund,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 070) | Department classified from CSVTU polytechnic listing category
"Government Women Polytechnic, Bilaspur",Chhattisgarh,Bilaspur,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 071) | Department classified from CSVTU polytechnic listing category
Government Polytechnic - Gariyaband,Chhattisgarh,Gariaband,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 073) | Department classified from CSVTU polytechnic listing category
Mansa Polytechnic College,Chhattisgarh,Durg,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 074) | Department classified from CSVTU polytechnic listing category
"N.M.D.C., D.A.V. Polytechnic-Dantewada",Chhattisgarh,Dantewada,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 075) | Department classified from CSVTU polytechnic listing category
Governemnt Polytechnic-Bijapur,Chhattisgarh,Bijapur,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 076) | Department classified from CSVTU polytechnic listing category
Chhattisgarh Institute of Technology -Jashpur,Chhattisgarh,Jashpur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 077)
Governemnt Polytechnic-Kanker,Chhattisgarh,Kanker,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 078) | Department classified from CSVTU polytechnic listing category
Governemnt Polytechnic-Korea,Chhattisgarh,Koriya,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 079) | Department classified from CSVTU polytechnic listing category
Governemnt Polytechnic-Narayanpur,Chhattisgarh,Narayanpur,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 080) | Department classified from CSVTU polytechnic listing category
"Government Polytechnic, Ramanujganj",Chhattisgarh,Balrampur,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 084) | Department classified from CSVTU polytechnic listing category
"Government Polytechnic, Sukma",Chhattisgarh,Sukma,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 085) | Department classified from CSVTU polytechnic listing category
"Government Polytechnic, Mungeli",Chhattisgarh,Mungeli,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 086) | Department classified from CSVTU polytechnic listing category
J K College of Pharmacy,Chhattisgarh,Bilaspur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 087) | Department classified from CSVTU pharmacy listing category
"Apollo College Of Pharmacy, Durg",Chhattisgarh,Durg,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 090) | Department classified from CSVTU pharmacy listing category
"Bhilai Institute Of Technology,Raipur",Chhattisgarh,Raipur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 093)
"Krishna Vikas Institute of Technology, Raipur",Chhattisgarh,Raipur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 098)
"Krishna Engineering College, Bhilai",Chhattisgarh,Durg,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 100)
"Government Polytechnic, Surajpur",Chhattisgarh,Surajpur,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 101) | Department classified from CSVTU polytechnic listing category
"Government Polytechnic, Kondagaon",Chhattisgarh,Kondagoan,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 102) | Department classified from CSVTU polytechnic listing category
"Government Polytechnic, Berla",Chhattisgarh,Bemetara,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 103) | Department classified from CSVTU polytechnic listing category
"Government Polytechnic, Balod",Chhattisgarh,Balod,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 104) | Department classified from CSVTU polytechnic listing category
"M J College, Bhilai",Chhattisgarh,Durg,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 106)
"Ayush College of Pharmacy, Marwahi",Chhattisgarh,Bilaspur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 107) | Department classified from CSVTU pharmacy listing category
"Kamalkant Shukla Institute, Bhatapara",Chhattisgarh,Balodabazar,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 111)
RITEE College of Pharmacy Raipur,Chhattisgarh,Raipur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 113) | Department classified from CSVTU pharmacy listing category
"Raigarh College of Pharmacy, Raigarh",Chhattisgarh,Raigarh,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 114) | Department classified from CSVTU pharmacy listing category
"LCIT School of Pharmacy, Bilaspur",Chhattisgarh,Bilaspur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 115) | Department classified from CSVTU pharmacy listing category
"J K Institute of Pharmaceutical Education & Research, Bilaspur",Chhattisgarh,Bilaspur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 116) | Department classified from CSVTU pharmacy listing category
"Ayush College of Pharmacy, Meduka",Chhattisgarh,Bilaspur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 118) | Department classified from CSVTU pharmacy listing category
"Rungta Institute of Pharmaceutical Sciences, Bhilai",Chhattisgarh,Durg,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 122) | Department classified from CSVTU pharmacy listing category
Chhatrapati Shivaji Institute Of Pharmacy - Durg,Chhattisgarh,Durg,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 124) | Department classified from CSVTU pharmacy listing category
"Sanskar City College of Pharmacy, Rajnandgaon",Chhattisgarh,Rajnandgaon,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 125) | Department classified from CSVTU pharmacy listing category
"Krishna's Vikash Institute of Pharmaceutical Sciences and Research, Raipur",Chhattisgarh,Raipur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 126) | Department classified from CSVTU pharmacy listing category
"Sanjivani Institute of Pharmacy, Bilaspur",Chhattisgarh,Bilaspur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 127) | Department classified from CSVTU pharmacy listing category
"DBM College of Pharmacy, JanjgirChampa",Chhattisgarh,Janjgir – Champa,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 128) | Department classified from CSVTU pharmacy listing category
"Sita Ram Kashyap College of Pharmacy, JanjgirChampa",Chhattisgarh,Janjgir – Champa,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 129) | Department classified from CSVTU pharmacy listing category
"Shri Balaji College of Pharmaceutical Sciences, JanjgirChampa",Chhattisgarh,Janjgir – Champa,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 130) | Department classified from CSVTU pharmacy listing category
Bodhni Devi Pharmacy College - Jagdalpur,Chhattisgarh,Bastar,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 131) | Department classified from CSVTU pharmacy listing category
Danteshwari College of Pharmacy - Bastar,Chhattisgarh,Bastar,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 132) | Department classified from CSVTU pharmacy listing category
"Government Engineering College, Ambikapur",Chhattisgarh,Surguja,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 133)
"Raigarh College of Education, Raigarh",Chhattisgarh,Raigarh,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 135)
"Tagore Institute of Pharmacy and Research, Bilaspur",Chhattisgarh,Bilaspur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 137) | Department classified from CSVTU pharmacy listing category
"Rungta Institute of Pharmaceutical Sciences and Research, Bhilai",Chhattisgarh,Durg,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 138) | Department classified from CSVTU pharmacy listing category
"Gracious College of Pharmacy, Raipur",Chhattisgarh,Raipur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 139) | Department classified from CSVTU pharmacy listing category
"Tagore College of Management, Sakari, Bilaspur",Chhattisgarh,Bilaspur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 141)
"Raipur Institute of Pharmaceutical Education & Research, Raipur",Chhattisgarh,Raipur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 142) | Department classified from CSVTU pharmacy listing category
"School of Pharmacy, Chouksey Engineering College, Bilaspur",Chhattisgarh,Bilaspur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 143) | Department classified from CSVTU pharmacy listing category
"Chouksey College of Pharmacy, Bilaspur",Chhattisgarh,Bilaspur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 145) | Department classified from CSVTU pharmacy listing category
"Kismat Pharmacy College, Ramanujganj, Balrampur",Chhattisgarh,Balrampur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 146) | Department classified from CSVTU pharmacy listing category
"Prism College of Pharmacy, Durg",Chhattisgarh,Durg,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 147) | Department classified from CSVTU pharmacy listing category
"Sandipani College of Pharmacy, Bilaspur",Chhattisgarh,Bilaspur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 148) | Department classified from CSVTU pharmacy listing category
"V M College of Pharmacy, Bishrampur",Chhattisgarh,Surajpur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 149) | Department classified from CSVTU pharmacy listing category
"We Care College of Pharmacy, Ambikapur",Chhattisgarh,Surguja,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 150) | Department classified from CSVTU pharmacy listing category
"Institue of Pharmaceutical studies, Bilaspur",Chhattisgarh,Bilaspur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 151) | Department classified from CSVTU pharmacy listing category
