Institution,State,District,Type,DataDepth,Department,ResearchAreas,SourceVerified
Government Polytechnic - Gariyaband,Chhattisgarh,Gariaband,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 073)
Mansa Polytechnic College,Chhattisgarh,Durg,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 074)
"N.M.D.C., D.A.V. Polytechnic-Dantewada",Chhattisgarh,Dantewada,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 075)
Governemnt Polytechnic-Bijapur,Chhattisgarh,Bijapur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 076)
Chhattisgarh Institute of Technology -Jashpur,Chhattisgarh,Jashpur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 077)
Governemnt Polytechnic-Kanker,Chhattisgarh,Kanker,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 078)
Governemnt Polytechnic-Korea,Chhattisgarh,Koriya,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 079)
Governemnt Polytechnic-Narayanpur,Chhattisgarh,Narayanpur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 080)
"Government Polytechnic, Ramanujganj",Chhattisgarh,Balrampur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 084)
"Government Polytechnic, Sukma",Chhattisgarh,Sukma,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 085)
"Government Polytechnic, Mungeli",Chhattisgarh,Mungeli,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 086)
J K College of Pharmacy,Chhattisgarh,Bilaspur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 087)
"Apollo College Of Pharmacy, Durg",Chhattisgarh,Durg,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 090)
"Bhilai Institute Of Technology,Raipur",Chhattisgarh,Raipur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 093)
"Chhattisgarh Engineering College, Durg",Chhattisgarh,Durg,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 096)
"Krishna Vikas Institute of Technology, Raipur",Chhattisgarh,Raipur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 098)
"Krishna Engineering College, Bhilai",Chhattisgarh,Durg,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 100)
"Government Polytechnic, Surajpur",Chhattisgarh,Surajpur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 101)
"Government Polytechnic, Kondagaon",Chhattisgarh,Kondagoan,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 102)
"Government Polytechnic, Berla",Chhattisgarh,Bemetara,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 103)
"Government Polytechnic, Balod",Chhattisgarh,Balod,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 104)
"M J College, Bhilai",Chhattisgarh,Durg,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 106)
"Ayush College of Pharmacy, Marwahi",Chhattisgarh,Bilaspur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 107)
"Central Institute of Plastic Engineering & Technology, Raipur",Chhattisgarh,Raipur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 108)
"Kamalkant Shukla Institute, Bhatapara",Chhattisgarh,Balodabazar,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 111)
RITEE College of Pharmacy Raipur,Chhattisgarh,Raipur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 113)
"Raigarh College of Pharmacy, Raigarh",Chhattisgarh,Raigarh,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 114)
"LCIT School of Pharmacy, Bilaspur",Chhattisgarh,Bilaspur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 115)
"J K Institute of Pharmaceutical Education & Research, Bilaspur",Chhattisgarh,Bilaspur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 116)
"Ayush College of Pharmacy, Meduka",Chhattisgarh,Bilaspur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 118)
"Rungta Institute of Pharmaceutical Sciences, Bhilai",Chhattisgarh,Durg,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 122)
Chhatrapati Shivaji Institute Of Pharmacy - Durg,Chhattisgarh,Durg,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 124)
"Sanskar City College of Pharmacy, Rajnandgaon",Chhattisgarh,Rajnandgaon,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 125)
"Krishna's Vikash Institute of Pharmaceutical Sciences and Research, Raipur",Chhattisgarh,Raipur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 126)
"Sanjivani Institute of Pharmacy, Bilaspur",Chhattisgarh,Bilaspur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 127)
"DBM College of Pharmacy, JanjgirChampa",Chhattisgarh,Janjgir – Champa,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 128)
"Sita Ram Kashyap College of Pharmacy, JanjgirChampa",Chhattisgarh,Janjgir – Champa,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 129)
"Shri Balaji College of Pharmaceutical Sciences, JanjgirChampa",Chhattisgarh,Janjgir – Champa,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 130)
Bodhni Devi Pharmacy College - Jagdalpur,Chhattisgarh,Bastar,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 131)
Danteshwari College of Pharmacy - Bastar,Chhattisgarh,Bastar,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 132)
"Government Engineering College, Ambikapur",Chhattisgarh,Surguja,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 133)
"Raigarh College of Education, Raigarh",Chhattisgarh,Raigarh,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 135)
"Tagore Institute of Pharmacy and Research, Bilaspur",Chhattisgarh,Bilaspur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 137)
"Rungta Institute of Pharmaceutical Sciences and Research, Bhilai",Chhattisgarh,Durg,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 138)
"Gracious College of Pharmacy, Raipur",Chhattisgarh,Raipur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 139)
"Tagore College of Management, Sakari, Bilaspur",Chhattisgarh,Bilaspur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 141)
"Raipur Institute of Pharmaceutical Education & Research, Raipur",Chhattisgarh,Raipur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 142)
"School of Pharmacy, Chouksey Engineering College, Bilaspur",Chhattisgarh,Bilaspur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 143)
"Chouksey College of Pharmacy, Bilaspur",Chhattisgarh,Bilaspur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 145)
"Kismat Pharmacy College, Ramanujganj, Balrampur",Chhattisgarh,Balrampur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 146)
"Prism College of Pharmacy, Durg",Chhattisgarh,Durg,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 147)
"Sandipani College of Pharmacy, Bilaspur",Chhattisgarh,Bilaspur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 148)
"V M College of Pharmacy, Bishrampur",Chhattisgarh,Surajpur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 149)
"We Care College of Pharmacy, Ambikapur",Chhattisgarh,Surguja,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 150)
"Institue of Pharmaceutical studies, Bilaspur",Chhattisgarh,Bilaspur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 151)
"Shri Sai Pharmacy College, Durg",Chhattisgarh,Durg,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 152)
"Disha College of Pharmacy, Raipur",Chhattisgarh,Raipur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 153)
"Pushpendra College of Pharmacy, Surguja",Chhattisgarh,Surguja,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 154)
"Institute of Pharmacy Research Centre, Surajpur",Chhattisgarh,Surajpur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 155)
"Maitri College of Pharmay, Anjora",Chhattisgarh,Durg,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 156)
"Career College of Pharmacy, Raigarh",Chhattisgarh,Raigarh,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 157)
"Bhilai Institue of Pharmacy, Raipur",Chhattisgarh,Raipur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 158)
"LCIT College of Pharmacy, Bilaspur",Chhattisgarh,Bilaspur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 159)
"Hrishikesh College of Pharmaceutical and Research Institute, Bastar",Chhattisgarh,Bastar,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 160)
"Jagrani Devi Pharmacy College, Baradwar, District- Sakti",Chhattisgarh,Janjgir – Champa,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 161)
"Atharva College of Pharmacy, Dhanora, Durg",Chhattisgarh,Durg,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 162)
"Prerna College of Pharmacy, Devbhog Road, Gariyaband",Chhattisgarh,Gariaband,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 163)
"Mona Cllege of Pharmacy, Sarangarh",Chhattisgarh,Raigarh,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 164)
"Gyanroshani College of Pharmacy, Janjgir",Chhattisgarh,Janjgir – Champa,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 165)
"Keshri College of Pharmacy, Janjgir-Chmpa",Chhattisgarh,Janjgir – Champa,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 166)
"DLS Pharmacy College, Bilaspur",Chhattisgarh,Bilaspur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 167)
"Trimurty Pharmacy College, Mungeli",Chhattisgarh,Mungeli,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 168)
"GLD Institute of Pharmaceutical Science, Nawagarh",Chhattisgarh,Janjgir – Champa,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 169)
"IPS Pharmacy College, Ratanpur",Chhattisgarh,Bilaspur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 170)
"GP Gupta Pharmacy College, Rahod",Chhattisgarh,Janjgir – Champa,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 172)
"Sanskriti Institute of Pharmaceutical Science & Technology, Janjgir-Champa",Chhattisgarh,Janjgir – Champa,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 173)
"DBM Institute of Pharmacy, Pithampur",Chhattisgarh,Janjgir – Champa,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 174)
"Yugantar Institute of Pharmacy, Rajnandgaon",Chhattisgarh,Rajnandgaon,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 176)
"Triveni College of Pharmacy, Akaltara",Chhattisgarh,Janjgir – Champa,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 177)
"Apex Institute of Pharmacy Education & Research, Raigarh",Chhattisgarh,Raigarh,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 178)
"National Institute of Pharmaceutical Science & Research, Bilaspur",Chhattisgarh,Bilaspur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 179)
"Nupoor College of Pharmacy, Raipur",Chhattisgarh,Raipur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 180)
"Maa Mangla College of Pharmacy, Raigarh",Chhattisgarh,Raigarh,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 181)
"Unique Institute of Pharmacy & Research, Janjgir",Chhattisgarh,Janjgir – Champa,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 182)
"Gurukripa Pharmacy College, Bilaspur",Chhattisgarh,Bilaspur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 183)
"Hrishikesh Institute of Pharmacy, Raipur",Chhattisgarh,Raipur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 184)
"Aryavart Pharmacy College, Durg",Chhattisgarh,Durg,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 185)
"Gracious College of Pharmacy, Kabirdham",Chhattisgarh,Kawardha,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 186)
"Riyansh College of Pharmacy, Lakhanpur",Chhattisgarh,Surguja,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 187)
"Mansa Pharmacy College, Bhilai",Chhattisgarh,Durg,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 188)
"Leela Devi College of Pharmacy, Durg",Chhattisgarh,Durg,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 189)
"Sanjivani Institute of Pharmacy-II, Takhatpur",Chhattisgarh,Bilaspur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 190)
"Shyam Balaji College of Pharmacy, Mahasamund",Chhattisgarh,Mahasamund,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 191)
"Shri Balaji Institute of Pharmacy Research Centre, Raipur",Chhattisgarh,Raipur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 193)
"R N Dubey College of Pharmacy, Janjgir-Champa",Chhattisgarh,Janjgir – Champa,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 195)
Chhattisgarh Pharmacy College,Chhattisgarh,Durg,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 197)
"C M Dubey Post Graduate College, Bilaspur",Chhattisgarh,Bilaspur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 198)
"Dipti Institute of Pharmacy, Surajpur",Chhattisgarh,Surajpur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 204)
"Sonkar College of Pharmacy, Mungeli",Chhattisgarh,Mungeli,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 205)
Swami Vivekanand Institute of Pharmacy & Research,Chhattisgarh,Bilaspur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 206)
"Government Polytechnic, Kurud",Chhattisgarh,Dhamtari,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 207)
"Chhattisgarh Institute of Technology, Jagdalpur",Chhattisgarh,Bastar,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 211)
"MAHARANA PRATAP COLLEGE OF PHARMACY,RAIPUR",Chhattisgarh,Raipur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 212)
"APAAR COLLEGE OF PHARMACY,JASHPUR",Chhattisgarh,Jashpur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 213)
"SRI ONKAR COLLEGE OF PHARMACY, RAIPUR",Chhattisgarh,Raipur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 214)
"SANDIPANI INSTITUTE OF PHARMACY,DURG",Chhattisgarh,Durg,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 215)
"INSTITUTE OF TECHNOLOGY AND SCIENCES, GARIYABAND",Chhattisgarh,Gariaband,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 216)
"MENNONITE CHRISTIAN PHARMACY COLLEGE, DHAMTARI",Chhattisgarh,Dhamtari,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 217)
"SURYA COLLEGE OF PHARMACY, JANJGIR CHAMPA",Chhattisgarh,Janjgir – Champa,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 218)
"S R PHARMACY COLLEGE,DURG",Chhattisgarh,Durg,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 219)
University Teaching Department (CSVTU),Chhattisgarh,Durg,university,shallow,,,Verified — CSVTU official affiliated institutes list (Code 000)
Chouksey Engineering College - Bilaspur,Chhattisgarh,Bilaspur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 002)
Chhatrapati Shivaji Institute Of Technology - Durg,Chhattisgarh,Durg,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 003)
Disha Institute Of Management And Technology - Raipur,Chhattisgarh,Raipur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 005)
"J K Institute of Engineering,Bilaspur",Chhattisgarh,Bilaspur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 024)
Government Polytechnic - Bilaspur,Chhattisgarh,Bilaspur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 028)
Late Karuna Shukla Government Polytechnic College - Balodabazar,Chhattisgarh,Balodabazar,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 038)
Government Polytechnic - Bhatapara,Chhattisgarh,Balodabazar,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 040)
Government Co-Ed Polytechnic - Raipur,Chhattisgarh,Raipur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 045)
Government Co-Ed Polytechnic - Jagdalpur,Chhattisgarh,Bastar,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 047)
Dharmu Mahara Government Girls Polytechnic - Jagdalpur,Chhattisgarh,Bastar,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 051)
Government Girls Polytechnic - Raipur,Chhattisgarh,Raipur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 052)
Bhopal Rao Pawar Govt. Polytechnic-Dhamtari,Chhattisgarh,Dhamtari,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 054)
Uday Prasad Uday Government Polytechnic - Durg,Chhattisgarh,Durg,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 055)
Chhattisgarh Institute of Technology - Raigarh,Chhattisgarh,Raigarh,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 056)
Government Polytechnic - Ambikapur,Chhattisgarh,Surguja,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 058)
Chhattisgarh Institute of Technology Kabirdham,Chhattisgarh,Kawardha,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 067)
"Bilaspur College of Polytechnic, Bilaspur",Chhattisgarh,Bilaspur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 094)
"Government Polytechnic, Chirmiri",Chhattisgarh,Koriya,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 199)
"Government Polytechnic, Bagicha Jashpur",Chhattisgarh,Jashpur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 200)
"Government Polytechnic, Marwahi",Chhattisgarh,Bilaspur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 201)
"Government Polytechnic, Pathariya",Chhattisgarh,Mungeli,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 202)
"Government Polytechnic, Thaankhamariya",Chhattisgarh,Bemetara,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 203)
Government Engineering College - Jagdalpur,Chhattisgarh,Bastar,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 008)
Rungta College of Engineering & Technology - Bhilai,Chhattisgarh,Durg,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 013)
Minimata Government Polytechnic - Rajnandgaon,Chhattisgarh,Rajnandgaon,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 053)
"Chhattisgarh Institute of Technology, Jashpur",Chhattisgarh,Jashpur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 210)
